video_id,start,end,text
o7BkIkB0YGU,78,88,A groovy Soul/RnB song that has soothing vocals and percussions which makes one want to swing along.
tfMU1scm-G0,172,182,A mashup of contemporary pop and rap songs featuring female vocals and male rapping over EDM music. A great dance party mix.
w9nBloqeGcI,92,102,"Rock n roll 80's music ideal for concert accompanied by male vocal,guitar,drum and bass."
JJ04gIQXjXE,95,105,Afro-style song with a peppy beat played with indigenous percussions. Has a carnival kind of feel to it.
E_OLHR0A5NI,105,115,"Uplifting rock song with a firm male vocal, electric guitar arpeggios, bass and synth layers. Evokes a sense of nostalgia."
0yYij2Cu2ss,87,97,"Rock song with hardcore drumming, jivey guitar riffs and hollow chorus vocals. Somewhat has Christmassy vibes."
0nM-FNmb6DY,84,94,EDM rave party music with catchy electro beat and energetic female vocal.
ga4V57Xenlc,135,145,"Alternative rock with male lead vocal, accompanied by electric guitar, and acoustic drums. Creates a mood of live concerts."
sG12et_WJCY,101,111,Mid-tempo hip-hop track with male rapping over trap beats and heavy synth layers.
c6iqABNhrhk,115,125,"Indie pop track with male vocals, backing acoustic guitar rhythm, drums and bass that expresses such emotional side of it."
R_L81N4rBeA,116,126,RnB rap single featuring a male rapper with a female vocal backing layer and groovy flat beats to give out a whole relaxed vibe.
yXQePXZlx6A,144,154,"A haunting hip-hop track with muddy male raping over an ambient pad, synth bass and church bell sounds."
Cx6F4J5nSZ8,170,180,"A soft track with a lovely female vocal, melodious synth and light drums making the track soothing."
oJ8bD2gA_sM,96,106,"Track made of electronic dubstep music, with layers of male vocals and pulsing bass drops."
mK6-Kx6hC2Y,119,129,"Dj party music with charming lady vocal, drum and techno synth tone."
8M1nY3CRZmM,146,156,Lo fi music with chill hip hop drum groove and laid back male vocal.
1FZANNeyApg,86,96,Hip-hop track that is powerful and upbeat with a male rap voice over bass thumps and synth layers. The song has an overall violent and aggressive vibe.
5xRyufZEVhA,110,120,Electronic pop music with vocal layering and perfect for a party mood.
AosymQq22NE,114,124,Afro beats and an intriguing male vocalist add zest to this traditional reggae track.   Has a Bob Marley-like sound.
9rIr-JivfS8,138,148,Gentle foreign jazz item with soothing male vocals and distinct guitar plucking.
9rRpamWkAhg,114,124,"A pop song with modulated male vocals, electronic sounds and synth layers."
OzZWCitDipQ,129,139,"Hip-hop track with male vocals, electronic bass, drums and synth. Great for dancing."
EwIkzaMmUUQ,114,124,Hip-hop music with lead male rap vocals in a foreign language with synth and electronic drums and bass. Has a groovy rhythm which gives a dancing vibe.
KdcnJ7e9SH8,104,114,"A very heartfelt alternative rock track where the male artist is singing his heart out to synth guitar effect, bass and drums."
MF_9kYV9nOg,79,89,Arabic hip-hop track with aggressive male rapping over heavy trap beats and synth pad layers.
7jpkfDe_mzs,110,120,Dance-pop with female vocals and synth bass and drums that sets the vibe perfectly for a nightclub.
oXwvM0ZtKHw,144,154,Emotional pop song with deep bass guitar layers and wholesome drumming featuring a sentimental female lead voice.
APcPmV_3MIU,113,123,"A classical mix of traditional Mexican instruments, deep trap beats and bass with male rap."
kygEsXP8Xic,120,130,Instrumental track with only a couple of straight note pad fillers. Sounds like a film's background score.
1mNjc36vYoA,172,182,Extreme dubstep track with scattered male speech over hardcore bass drops and synth pad layers. A perfect rave party song.
o0v2WeIpRLE,112,122,"Rave party edm music with synth lead tone, bass and drums."
